doc_id,fuel_code_candidate,missing_field,source_likely_has_field,html_exists,event_date_raw,parse_status,missing_fields
cf4043b38fa0a377,RON95_III,bog_spending_raw,True,True,11/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
4276ec4c940451d6,RON95_III,bog_contribution_raw,True,True,04/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
4276ec4c940451d6,RON95_III,bog_spending_raw,True,True,04/12/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
ce79c97a8561cafd,RON95_III,bog_contribution_raw,False,True,27/11/2025,parsed_partial,bog_contribution_raw
0ef954a9d915b261,RON95_III,bog_contribution_raw,True,True,20/11/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
0ef954a9d915b261,RON95_III,bog_spending_raw,True,True,20/11/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
1e7fd6acc777908a,RON95_III,bog_contribution_raw,True,True,13/11/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
1e7fd6acc777908a,RON95_III,bog_spending_raw,True,True,13/11/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
6852d53097037f5c,RON95_III,bog_contribution_raw,True,True,06/11/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
6852d53097037f5c,RON95_III,bog_spending_raw,True,True,06/11/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
4e73ea2c475175c5,RON95_III,bog_contribution_raw,True,True,30/10/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
4e73ea2c475175c5,RON95_III,bog_spending_raw,True,True,30/10/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
224bfe067c3e56e0,RON95_III,bog_contribution_raw,True,True,16/10/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
224bfe067c3e56e0,RON95_III,bog_spending_raw,True,True,16/10/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
3d3cc7b8749f5d7a,RON95_III,bog_contribution_raw,True,True,09/10/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
3d3cc7b8749f5d7a,RON95_III,bog_spending_raw,True,True,09/10/2025,parsed_partial,bog_contribution_raw;bog_spending_raw
