date,vcb_sell
03-06-2021,23140.0
04-06-2021,23150.0
05-06-2021,23150.0
06-06-2021,23150.0
07-06-2021,23070.0
08-06-2021,23060.0
09-06-2021,23060.0
10-06-2021,23040.0
11-06-2021,23050.0
12-06-2021,23050.0
13-06-2021,23050.0
14-06-2021,23050.0
15-06-2021,23050.0
16-06-2021,23050.0
17-06-2021,23060.0
18-06-2021,23110.0
19-06-2021,23110.0
20-06-2021,23110.0
21-06-2021,23120.0
22-06-2021,23120.0
23-06-2021,23120.0
24-06-2021,23100.0
25-06-2021,23110.0
26-06-2021,23110.0
27-06-2021,23110.0
28-06-2021,23120.0
29-06-2021,23120.0
30-06-2021,23120.0
01-07-2021,23110.0
02-07-2021,23100.0
03-07-2021,23100.0
04-07-2021,23100.0
05-07-2021,23100.0
06-07-2021,23100.0
07-07-2021,23100.0
08-07-2021,23120.0
09-07-2021,23100.0
10-07-2021,23100.0
11-07-2021,23100.0
12-07-2021,23120.0
13-07-2021,23120.0
14-07-2021,23110.0
15-07-2021,23120.0
16-07-2021,23110.0
17-07-2021,23110.0
18-07-2021,23110.0
19-07-2021,23120.0
20-07-2021,23130.0
21-07-2021,23130.0
22-07-2021,23120.0
23-07-2021,23110.0
24-07-2021,23110.0
25-07-2021,23110.0
26-07-2021,23110.0
27-07-2021,23110.0
28-07-2021,23095.0
29-07-2021,23070.0
30-07-2021,23050.0
31-07-2021,23050.0
01-08-2021,23050.0
02-08-2021,23050.0
03-08-2021,23050.0
04-08-2021,23040.0
05-08-2021,23040.0
06-08-2021,23030.0
07-08-2021,23030.0
08-08-2021,23030.0
09-08-2021,23030.0
10-08-2021,23000.0
11-08-2021,22900.0
12-08-2021,22910.0
13-08-2021,22930.0
14-08-2021,22930.0
15-08-2021,22930.0
16-08-2021,22940.0
17-08-2021,22935.0
18-08-2021,22910.0
19-08-2021,22910.0
20-08-2021,22915.0
21-08-2021,22915.0
22-08-2021,22915.0
23-08-2021,22925.0
24-08-2021,22925.0
25-08-2021,22900.0
26-08-2021,22880.0
27-08-2021,22890.0
28-08-2021,22890.0
29-08-2021,22890.0
30-08-2021,22880.0
31-08-2021,22870.0
01-09-2021,22880.0
02-09-2021,22880.0
03-09-2021,22880.0
04-09-2021,22880.0
05-09-2021,22880.0
06-09-2021,22865.0
07-09-2021,22860.0
08-09-2021,22870.0
09-09-2021,22870.0
10-09-2021,22870.0
11-09-2021,22870.0
12-09-2021,22870.0
13-09-2021,22870.0
14-09-2021,22870.0
15-09-2021,22860.0
16-09-2021,22860.0
17-09-2021,22870.0
18-09-2021,22870.0
19-09-2021,22870.0
20-09-2021,22875.0
21-09-2021,22870.0
22-09-2021,22860.0
23-09-2021,22860.0
24-09-2021,22860.0
25-09-2021,22860.0
26-09-2021,22860.0
27-09-2021,22860.0
28-09-2021,22870.0
29-09-2021,22860.0
30-09-2021,22860.0
01-10-2021,22860.0
02-10-2021,22860.0
03-10-2021,22860.0
04-10-2021,22860.0
05-10-2021,22860.0
06-10-2021,22860.0
07-10-2021,22860.0
08-10-2021,22860.0
09-10-2021,22860.0
10-10-2021,22860.0
11-10-2021,22860.0
12-10-2021,22850.0
13-10-2021,22860.0
14-10-2021,22860.0
15-10-2021,22860.0
16-10-2021,22860.0
17-10-2021,22860.0
18-10-2021,22860.0
19-10-2021,22860.0
20-10-2021,22855.0
21-10-2021,22855.0
22-10-2021,22855.0
23-10-2021,22855.0
24-10-2021,22855.0
25-10-2021,22855.0
26-10-2021,22855.0
27-10-2021,22855.0
28-10-2021,22855.0
29-10-2021,22850.0
30-10-2021,22850.0
31-10-2021,22850.0
01-11-2021,22850.0
02-11-2021,22850.0
03-11-2021,22830.0
04-11-2021,22780.0
05-11-2021,22770.0
06-11-2021,22770.0
07-11-2021,22770.0
08-11-2021,22760.0
09-11-2021,22760.0
10-11-2021,22760.0
11-11-2021,22745.0
12-11-2021,22745.0
13-11-2021,22745.0
14-11-2021,22745.0
15-11-2021,22750.0
16-11-2021,22750.0
17-11-2021,22750.0
18-11-2021,22750.0
19-11-2021,22755.0
20-11-2021,22755.0
21-11-2021,22755.0
22-11-2021,22770.0
23-11-2021,22775.0
24-11-2021,22785.0
25-11-2021,22775.0
26-11-2021,22775.0
27-11-2021,22775.0
28-11-2021,22775.0
29-11-2021,22790.0
30-11-2021,22800.0
01-12-2021,22810.0
02-12-2021,22830.0
03-12-2021,22940.0
04-12-2021,22940.0
05-12-2021,22940.0
06-12-2021,23220.0
07-12-2021,23200.0
08-12-2021,23080.0
09-12-2021,23100.0
10-12-2021,23100.0
11-12-2021,23100.0
12-12-2021,23100.0
13-12-2021,23090.0
14-12-2021,23110.0
15-12-2021,23140.0
16-12-2021,23120.0
17-12-2021,23100.0
18-12-2021,23100.0
19-12-2021,23100.0
20-12-2021,23070.0
21-12-2021,23040.0
22-12-2021,23090.0
23-12-2021,23095.0
24-12-2021,23010.0
25-12-2021,23010.0
26-12-2021,23010.0
27-12-2021,22930.0
28-12-2021,22980.0
29-12-2021,22980.0
30-12-2021,22920.0
31-12-2021,22920.0
01-01-2022,22920.0
02-01-2022,22920.0
03-01-2022,22920.0
04-01-2022,22920.0
05-01-2022,22900.0
06-01-2022,22900.0
07-01-2022,22850.0
08-01-2022,22850.0
09-01-2022,22850.0
10-01-2022,22820.0
11-01-2022,22840.0
12-01-2022,22840.0
13-01-2022,22840.0
14-01-2022,22850.0
15-01-2022,22850.0
16-01-2022,22850.0
17-01-2022,22850.0
18-01-2022,22870.0
19-01-2022,22840.0
20-01-2022,22780.0
21-01-2022,22760.0
22-01-2022,22760.0
23-01-2022,22760.0
24-01-2022,22810.0
25-01-2022,22780.0
26-01-2022,22770.0
27-01-2022,22780.0
28-01-2022,22780.0
29-01-2022,22780.0
30-01-2022,22780.0
31-01-2022,22780.0
01-02-2022,22780.0
02-02-2022,22780.0
03-02-2022,22780.0
04-02-2022,22780.0
05-02-2022,22780.0
06-02-2022,22780.0
07-02-2022,22810.0
08-02-2022,22880.0
09-02-2022,22830.0
10-02-2022,22820.0
11-02-2022,22830.0
12-02-2022,22830.0
13-02-2022,22830.0
14-02-2022,22860.0
15-02-2022,22890.0
16-02-2022,22900.0
17-02-2022,22930.0
18-02-2022,22980.0
19-02-2022,22980.0
20-02-2022,22980.0
21-02-2022,22930.0
22-02-2022,22940.0
23-02-2022,22960.0
24-02-2022,22960.0
25-02-2022,22960.0
26-02-2022,22960.0
27-02-2022,22960.0
28-02-2022,22950.0
01-03-2022,22950.0
02-03-2022,22980.0
03-03-2022,22980.0
04-03-2022,22980.0
05-03-2022,22980.0
06-03-2022,22980.0
07-03-2022,22990.0
08-03-2022,22990.0
09-03-2022,22990.0
10-03-2022,22980.0
11-03-2022,23010.0
12-03-2022,23010.0
13-03-2022,23010.0
14-03-2022,23030.0
15-03-2022,23030.0
16-03-2022,23020.0
17-03-2022,23020.0
18-03-2022,23000.0
19-03-2022,23000.0
20-03-2022,23000.0
21-03-2022,23010.0
22-03-2022,23015.0
23-03-2022,23020.0
24-03-2022,23015.0
25-03-2022,23010.0
26-03-2022,23010.0
27-03-2022,23010.0
28-03-2022,23015.0
29-03-2022,23020.0
30-03-2022,23000.0
31-03-2022,22980.0
01-04-2022,22980.0
02-04-2022,22980.0
03-04-2022,22980.0
04-04-2022,22980.0
05-04-2022,23010.0
06-04-2022,23010.0
07-04-2022,23000.0
08-04-2022,23000.0
09-04-2022,23000.0
10-04-2022,23000.0
11-04-2022,23000.0
12-04-2022,23025.0
13-04-2022,23020.0
14-04-2022,23040.0
15-04-2022,23040.0
16-04-2022,23040.0
17-04-2022,23040.0
18-04-2022,23060.0
19-04-2022,23095.0
20-04-2022,23105.0
21-04-2022,23105.0
22-04-2022,23110.0
23-04-2022,23110.0
24-04-2022,23110.0
25-04-2022,23120.0
26-04-2022,23120.0
27-04-2022,23105.0
28-04-2022,23090.0
29-04-2022,23095.0
30-04-2022,23095.0
01-05-2022,23095.0
02-05-2022,23095.0
03-05-2022,23095.0
04-05-2022,23110.0
05-05-2022,23090.0
06-05-2022,23090.0
07-05-2022,23090.0
08-05-2022,23090.0
09-05-2022,23095.0
10-05-2022,23075.0
11-05-2022,23200.0
12-05-2022,23230.0
13-05-2022,23230.0
14-05-2022,23230.0
15-05-2022,23230.0
16-05-2022,23230.0
17-05-2022,23270.0
18-05-2022,23280.0
19-05-2022,23305.0
20-05-2022,23310.0
21-05-2022,23310.0
22-05-2022,23310.0
23-05-2022,23315.0
24-05-2022,23350.0
25-05-2022,23350.0
26-05-2022,23340.0
27-05-2022,23340.0
28-05-2022,23340.0
29-05-2022,23340.0
30-05-2022,23330.0
31-05-2022,23330.0
01-06-2022,23340.0
02-06-2022,23350.0
03-06-2022,23340.0
04-06-2022,23340.0
05-06-2022,23340.0
06-06-2022,23335.0
07-06-2022,23325.0
08-06-2022,23330.0
09-06-2022,23310.0
10-06-2022,23310.0
11-06-2022,23310.0
12-06-2022,23310.0
13-06-2022,23340.0
14-06-2022,23370.0
15-06-2022,23360.0
16-06-2022,23370.0
17-06-2022,23380.0
18-06-2022,23380.0
19-06-2022,23380.0
20-06-2022,23380.0
21-06-2022,23380.0
22-06-2022,23385.0
23-06-2022,23390.0
24-06-2022,23390.0
25-06-2022,23390.0
26-06-2022,23390.0
27-06-2022,23390.0
28-06-2022,23390.0
29-06-2022,23380.0
30-06-2022,23415.0
01-07-2022,23440.0
02-07-2022,23440.0
03-07-2022,23440.0
04-07-2022,23470.0
05-07-2022,23490.0
06-07-2022,23505.0
07-07-2022,23490.0
08-07-2022,23500.0
09-07-2022,23500.0
10-07-2022,23500.0
11-07-2022,23490.0
12-07-2022,23520.0
13-07-2022,23530.0
14-07-2022,23545.0
15-07-2022,23580.0
16-07-2022,23580.0
17-07-2022,23580.0
18-07-2022,23590.0
19-07-2022,23570.0
20-07-2022,23560.0
21-07-2022,23560.0
22-07-2022,23550.0
23-07-2022,23550.0
24-07-2022,23550.0
25-07-2022,23530.0
26-07-2022,23495.0
27-07-2022,23510.0
28-07-2022,23520.0
29-07-2022,23480.0
30-07-2022,23480.0
31-07-2022,23480.0
01-08-2022,23490.0
02-08-2022,23500.0
03-08-2022,23530.0
04-08-2022,23540.0
05-08-2022,23530.0
06-08-2022,23530.0
07-08-2022,23530.0
08-08-2022,23530.0
09-08-2022,23530.0
10-08-2022,23530.0
11-08-2022,23530.0
12-08-2022,23530.0
13-08-2022,23530.0
14-08-2022,23530.0
15-08-2022,23540.0
16-08-2022,23540.0
17-08-2022,23545.0
18-08-2022,23540.0
19-08-2022,23545.0
20-08-2022,23545.0
21-08-2022,23545.0
22-08-2022,23545.0
23-08-2022,23570.0
24-08-2022,23610.0
25-08-2022,23560.0
26-08-2022,23570.0
27-08-2022,23570.0
28-08-2022,23570.0
29-08-2022,23550.0
30-08-2022,23570.0
31-08-2022,23600.0
01-09-2022,23600.0
02-09-2022,23600.0
03-09-2022,23600.0
04-09-2022,23600.0
05-09-2022,23680.0
06-09-2022,23680.0
07-09-2022,23740.0
08-09-2022,23670.0
09-09-2022,23690.0
10-09-2022,23690.0
11-09-2022,23690.0
12-09-2022,23670.0
13-09-2022,23690.0
14-09-2022,23730.0
15-09-2022,23740.0
16-09-2022,23795.0
17-09-2022,23795.0
18-09-2022,23795.0
19-09-2022,23810.0
20-09-2022,23810.0
21-09-2022,23825.0
22-09-2022,23845.0
23-09-2022,23845.0
24-09-2022,23845.0
25-09-2022,23845.0
26-09-2022,23870.0
27-09-2022,23875.0
28-09-2022,23890.0
29-09-2022,23950.0
30-09-2022,24010.0
01-10-2022,24010.0
02-10-2022,24010.0
03-10-2022,24040.0
04-10-2022,24030.0
05-10-2022,24020.0
06-10-2022,24015.0
07-10-2022,24020.0
08-10-2022,24020.0
09-10-2022,24020.0
10-10-2022,24020.0
