title,report_date,detail_url,bog_pvoil
Báo cáo quỹ bình ổn giá xăng dầu ngày 13/11/2025,13/11/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-13112025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 06/11/2025,06/11/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-06112025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 30/10/2025,30/10/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-30102025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 23/10/2025,23/10/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-23102025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 16/10/2025,16/10/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-16102025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 09/10/2025,09/10/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-09102025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 02/10/2025,02/10/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-02102025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 25/9/2025,25/9/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2592025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 18/9/2025,18/9/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1892025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 11/9/2025,11/9/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1192025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 04/9/2025,04/9/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-0492025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 28/8/2025,28/8/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2882025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 21/8/2025,21/8/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2182025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 14/8/2025,14/8/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1482025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 07/8/2025,07/8/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-0782025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 31/7/2025,31/7/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-3172025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 24/7/2025,24/7/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2472025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 17/7/2025,17/7/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1772025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 10/7/2025,10/7/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1072025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 03/07/2025,03/07/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-03072025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 26/06/2025,26/06/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-26062025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 19/06/2025,19/06/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-19062025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 12/06/2025,12/06/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-12062025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 05/06/2025,05/06/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-05062025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 29/05/2025,29/05/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-29052025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 22/05/2025,22/05/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-22052025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 15/05/2025,15/05/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-15052025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 08/05/2025,08/05/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-08052025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 05/05/2025,05/05/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-05052025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 24/04/2025,24/04/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-24042025,"-138,42 tỷ đồng"
Báo cáo quỹ bình ổn giá xăng dầu ngày 17/04/2025,17/04/2025,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-17042025,"-138,42 tỷ đồng"
