title,report_date,detail_url,bog_petrolimex
Ước tồn Quỹ BOG tại Petrolimex ngày 09.10.2025,09.10.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-09-10-2025.html,3.085 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 02.10.2025,02.10.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-25-9-2025-1759390604-1389831543.html,3.085 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 25.9.2025,25.9.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-25-9-2025.html,3.085 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 18.9.2025,18.9.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-18-9-2025.html,3.085 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 11.9.2025,11.9.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-11-9-2025.html,3.085 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 04.9.2025,04.9.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-04-9-2025.html,3.084 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 28.8.2025,28.8.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-28-8-2025.html,3.084 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 21.8.2025,21.8.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-21-8-2025.html,3.084 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 14.8.2025,14.8.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-07-8-2025.html,3.084 tỷ đồng
Ước tồn Quỹ BOG tại Petrolimex ngày 07.8.2025,07.8.2025,https://www.petrolimex.com.vn/ndi/minh-bach-xang-dau/uoc-ton-quy-bog-tai-petrolimex-ngay-7-8-2025.html,3.084 tỷ đồng
