crawl_date,detail_url,title,report_date,post_date,is_parsed
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-3172025,Báo cáo quỹ bình ổn giá xăng dầu ngày 31/7/2025,31/7/2025,31.07.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-2472025,Báo cáo quỹ bình ổn giá xăng dầu ngày 24/7/2025,24/7/2025,24.07.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1772025,Báo cáo quỹ bình ổn giá xăng dầu ngày 17/7/2025,17/7/2025,17.07.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-1072025,Báo cáo quỹ bình ổn giá xăng dầu ngày 10/7/2025,10/7/2025,10.07.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-03072025,Báo cáo quỹ bình ổn giá xăng dầu ngày 03/07/2025,03/07/2025,03.07.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-26062025,Báo cáo quỹ bình ổn giá xăng dầu ngày 26/06/2025,26/06/2025,26.06.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-19062025,Báo cáo quỹ bình ổn giá xăng dầu ngày 19/06/2025,19/06/2025,19.06.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-12062025,Báo cáo quỹ bình ổn giá xăng dầu ngày 12/06/2025,12/06/2025,12.06.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-05062025,Báo cáo quỹ bình ổn giá xăng dầu ngày 05/06/2025,05/06/2025,05.06.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-29052025,Báo cáo quỹ bình ổn giá xăng dầu ngày 29/05/2025,29/05/2025,29.05.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-22052025,Báo cáo quỹ bình ổn giá xăng dầu ngày 22/05/2025,22/05/2025,22.05.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-15052025,Báo cáo quỹ bình ổn giá xăng dầu ngày 15/05/2025,15/05/2025,15.05.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-08052025,Báo cáo quỹ bình ổn giá xăng dầu ngày 08/05/2025,08/05/2025,08.05.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-05052025,Báo cáo quỹ bình ổn giá xăng dầu ngày 05/05/2025,05/05/2025,05.05.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-24042025,Báo cáo quỹ bình ổn giá xăng dầu ngày 24/04/2025,24/04/2025,24.04.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-17042025,Báo cáo quỹ bình ổn giá xăng dầu ngày 17/04/2025,17/04/2025,17.04.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-10042025,Báo cáo quỹ bình ổn giá xăng dầu ngày 10/04/2025,10/04/2025,10.04.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-03042025,Báo cáo quỹ bình ổn giá xăng dầu ngày 03/04/2025,03/04/2025,03.04.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-27032025,Báo cáo quỹ bình ổn giá xăng dầu ngày 27/03/2025,27/03/2025,27.03.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-20032025,Báo cáo quỹ bình ổn giá xăng dầu ngày 20/03/2025,20/03/2025,20.03.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-13032025,Báo cáo quỹ bình ổn giá xăng dầu ngày 13/03/2025,13/03/2025,13.03.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-06032025,Báo cáo quỹ bình ổn giá xăng dầu ngày 06/03/2025,06/03/2025,06.03.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-27022025,Báo cáo quỹ bình ổn giá xăng dầu ngày 27/02/2025,27/02/2025,27.02.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-20022025,Báo cáo quỹ bình ổn giá xăng dầu ngày 20/02/2025,20/02/2025,20.02.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-13022025,Báo cáo quỹ bình ổn giá xăng dầu ngày 13/02/2025,13/02/2025,13.02.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-06022025,Báo cáo quỹ bình ổn giá xăng dầu ngày 06/02/2025,06/02/2025,06.02.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-01022025,Báo cáo quỹ bình ổn giá xăng dầu ngày 01/02/2025,01/02/2025,01.02.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-23012025,Báo cáo quỹ bình ổn giá xăng dầu ngày 23/01/2025,23/01/2025,23.01.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-16012025,Báo cáo quỹ bình ổn giá xăng dầu ngày 16/01/2025,16/01/2025,16.01.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-09012025,Báo cáo quỹ bình ổn giá xăng dầu ngày 09/01/2025,09/01/2025,09.01.2025,1
2026-06-09,https://www.pvoil.com.vn/bao-cao-quy-binh-on-gia-xang-dau-ngay-02012025,Báo cáo quỹ bình ổn giá xăng dầu ngày 02/01/2025,02/01/2025,02.01.2025,1
